date,total,filter,remove,ratio
2021-12-26,23,5,0,0.22
2021-12-28,16,7,0,0.44
2021-12-30,21,9,0,0.43
2022-01-02,18,8,0,0.44
2022-01-08,23,10,0,0.43
2022-01-10,19,10,0,0.53
2022-01-12,21,8,0,0.38
2022-01-14,19,7,0,0.37
2022-01-16,19,6,0,0.32
2022-01-18,26,6,3,0.23
2022-01-20,21,3,1,0.14
2022-01-22,21,16,0,0.76
2022-01-24,23,10,1,0.43
2022-01-26,21,11,3,0.52
2022-01-28,19,7,0,0.37
2022-01-30,19,8,0,0.42
2022-02-02,24,7,0,0.29
2022-02-04,27,13,0,0.48
2022-02-06,25,12,1,0.48
2022-02-08,15,7,6,0.47
2022-02-10,35,16,0,0.46
2022-02-12,29,7,0,0.24
2022-02-14,18,5,0,0.28
2022-02-16,27,3,0,0.11
2022-02-18,25,15,0,0.6
2022-02-20,29,14,0,0.48
2022-02-22,20,12,0,0.6
2022-02-26,17,3,0,0.18
2022-02-28,31,11,0,0.35
2022-03-02,23,10,0,0.43
2022-03-04,17,6,0,0.35
2022-03-06,18,5,0,0.28
2022-03-08,22,5,0,0.23
2022-03-10,31,9,0,0.29
2022-03-12,27,12,0,0.44
2022-03-14,35,14,0,0.4
2022-03-16,20,10,0,0.5
2022-03-18,24,4,0,0.17
2022-03-20,23,9,2,0.39
2022-03-22,18,8,0,0.44
2022-03-24,18,3,0,0.17
2022-03-26,22,10,0,0.45
2022-03-28,23,8,0,0.35
2022-03-30,19,6,1,0.32
2022-04-02,23,10,0,0.43
2022-04-04,48,14,0,0.29
2022-04-06,33,10,0,0.3
2022-04-08,45,11,0,0.24
2022-04-10,37,14,0,0.38
2022-04-12,40,16,0,0.4
2022-04-14,32,7,0,0.22
2022-04-16,29,14,0,0.48
2022-04-18,50,11,0,0.22
2022-04-20,31,11,0,0.35
2022-04-22,51,9,3,0.18
2022-04-24,37,15,0,0.41
2022-04-26,62,27,0,0.44
2022-04-28,39,15,0,0.38
2022-04-30,36,16,0,0.44
2022-05-02,34,16,0,0.47
2022-05-04,49,15,0,0.31
2022-05-06,38,9,0,0.24
2022-05-08,40,8,0,0.2
2022-05-10,31,12,0,0.39
2022-05-12,43,7,3,0.16
2022-05-14,33,15,0,0.45
2022-05-16,30,8,0,0.27
2022-05-18,58,25,0,0.43
2022-05-20,33,14,0,0.42
2022-05-22,40,13,0,0.32
2022-05-24,31,9,0,0.29
2022-05-26,37,16,0,0.43
2022-06-02,39,17,0,0.44
2022-06-04,35,17,0,0.49
2022-06-06,39,20,0,0.51
2022-06-08,36,7,0,0.19
2022-06-10,47,12,0,0.26
2022-06-12,43,10,3,0.23
2022-06-14,47,9,0,0.19
2022-06-16,41,16,1,0.39
2022-06-18,34,14,0,0.41
2022-06-20,28,13,0,0.46
2022-06-22,50,12,0,0.24
2022-06-24,43,11,0,0.26
2022-06-26,40,22,1,0.55
2022-06-28,48,17,0,0.35
2022-06-30,30,7,4,0.23
2022-07-02,36,14,0,0.39
2022-07-04,34,14,0,0.41
2022-07-06,41,20,0,0.49
2022-07-08,40,18,0,0.45
2022-07-10,36,9,0,0.25
2022-07-12,31,7,2,0.23
2022-07-14,30,6,0,0.2
2022-07-16,36,9,0,0.25
2022-07-18,35,10,1,0.29
2022-07-20,36,7,6,0.19
2022-07-22,52,29,0,0.56
2022-07-24,58,19,1,0.33
2022-07-26,41,17,0,0.41
2022-07-28,31,17,0,0.55
2022-07-30,45,20,0,0.44
2022-08-02,43,18,0,0.42
2022-08-04,48,18,0,0.38
2022-08-06,37,12,0,0.32
2022-08-08,48,21,0,0.44
2022-08-10,31,11,0,0.35
2022-08-12,35,26,1,0.74
2022-08-14,38,16,0,0.42
2022-08-16,34,28,0,0.82
2022-08-18,59,11,0,0.19
2022-08-20,40,13,0,0.32
2022-08-22,36,14,0,0.39
2022-08-24,47,12,0,0.26
2022-08-26,45,24,1,0.53
2022-08-28,46,8,0,0.17
2022-08-30,45,19,0,0.42
2022-09-02,57,29,0,0.51
2022-09-04,38,15,0,0.39
2022-09-06,38,20,0,0.53
2022-09-08,40,9,0,0.22
2022-09-10,49,21,0,0.43
2022-09-12,31,9,0,0.29
2022-09-14,34,11,0,0.32
2022-09-16,35,14,0,0.4
2022-09-18,45,11,0,0.24
2022-09-20,41,7,0,0.17
2022-09-22,33,17,5,0.52
2022-09-24,35,12,0,0.34
2022-09-26,38,11,0,0.29
2022-09-28,33,7,0,0.21
2022-09-30,43,21,2,0.49
2022-10-02,45,10,0,0.22
2022-10-04,41,10,0,0.24
2022-10-06,50,26,0,0.52
2022-10-08,36,12,0,0.33
2022-10-10,33,15,0,0.45
2022-10-12,44,25,0,0.57
2022-10-14,31,14,0,0.45
2022-10-16,33,13,0,0.39
2022-10-18,29,18,0,0.62
2022-10-20,26,16,0,0.62
2022-10-22,31,22,0,0.71
2022-10-24,24,15,0,0.62
2022-10-26,28,11,0,0.39
2022-10-28,22,12,0,0.55
2022-10-30,25,9,0,0.36
2022-11-01,21,9,0,0.43
2022-11-03,19,7,0,0.37
2022-11-05,36,13,0,0.36
2022-11-07,34,25,0,0.74
2022-11-09,38,17,0,0.45
2022-11-11,21,10,0,0.48
2022-11-13,28,16,0,0.57
2022-11-15,25,20,0,0.8
2022-11-17,20,11,0,0.55
2022-11-19,20,15,0,0.75
2022-11-21,22,17,0,0.77
2022-11-23,20,13,0,0.65
2022-11-25,17,10,0,0.59
2022-11-27,27,18,0,0.67
2022-11-30,22,9,0,0.41
2022-12-02,21,12,0,0.57
2022-12-04,22,11,0,0.5
2022-12-06,24,12,0,0.5
2022-12-08,20,12,0,0.6
2022-12-10,24,12,0,0.5
2022-12-12,16,6,0,0.38
2022-12-14,19,13,0,0.68
2022-12-16,22,12,0,0.55
2022-12-18,18,9,0,0.5
2022-12-20,22,9,0,0.41
2022-12-22,22,16,0,0.73
2022-12-24,18,10,0,0.56
2022-12-26,25,18,0,0.72
2022-12-28,20,10,0,0.5
2022-12-30,26,17,0,0.65
2023-01-01,16,9,0,0.56
2023-01-03,26,15,0,0.58
2023-01-05,15,10,0,0.67
2023-01-07,25,20,0,0.8
2023-01-09,24,12,0,0.5
2023-01-13,28,21,0,0.75
2023-01-15,36,22,0,0.61
2023-01-17,24,19,0,0.79
2023-01-19,39,24,0,0.62
2023-01-21,35,16,0,0.46
2023-01-23,23,10,0,0.43
2023-01-26,30,23,0,0.77
2023-01-28,28,20,0,0.71
2023-02-01,30,15,0,0.5
2023-02-01,27,11,0,0.41
2023-02-01,25,17,0,0.68
2023-02-01,31,25,0,0.81
2023-02-01,24,17,0,0.71
2023-02-03,33,23,0,0.7
2023-02-05,28,12,0,0.43
2023-02-07,23,14,0,0.61
2023-02-09,31,24,0,0.77
2023-02-11,36,20,0,0.56
2023-02-13,24,12,0,0.5
2023-02-15,34,15,0,0.44
2023-02-17,24,14,0,0.58
2023-02-19,30,14,0,0.47
2023-02-21,26,18,0,0.69
2023-02-23,38,29,0,0.76
2023-02-25,22,12,0,0.55
2023-02-27,30,18,0,0.6
2023-03-01,31,15,0,0.48
2023-03-03,33,24,0,0.73
2023-03-05,28,21,0,0.75
2023-03-07,34,19,0,0.56
2023-03-09,33,15,0,0.45
2023-03-11,27,12,0,0.44
2023-03-13,30,17,0,0.57
2023-03-16,34,15,0,0.44
2023-03-18,22,11,0,0.5
2023-03-20,34,21,0,0.62
2023-03-22,24,14,0,0.58
2023-03-24,36,23,0,0.64
2023-03-26,26,11,0,0.42
2023-04-02,24,13,0,0.54
2023-04-04,31,17,0,0.55
2023-04-06,32,22,0,0.69
2023-04-12,27,19,0,0.7
2023-04-14,37,23,0,0.62
2023-04-16,25,15,0,0.6
2023-04-18,35,16,0,0.46
2023-04-20,29,15,0,0.52
2023-04-22,22,17,0,0.77
2023-04-24,24,15,0,0.62
2023-04-26,36,27,0,0.75
2023-04-30,24,16,0,0.67
2023-05-02,24,14,0,0.58
2023-05-04,24,14,0,0.58
2023-05-06,25,13,0,0.52
2023-05-08,34,20,0,0.59
2023-05-10,28,21,0,0.75
2023-05-12,30,16,0,0.53
2023-05-14,32,22,0,0.69
2023-05-16,22,11,0,0.5
2023-05-18,28,14,0,0.5
2023-05-20,37,17,0,0.46
2023-05-22,22,13,0,0.59
2023-05-24,26,14,0,0.54
2023-05-26,36,25,0,0.69
2023-05-28,24,13,0,0.54
2023-05-30,27,17,0,0.63
2023-06-01,26,14,0,0.54
2023-06-03,27,13,0,0.48
2023-06-05,21,16,0,0.76
2023-06-07,36,19,0,0.53
2023-06-09,29,15,0,0.52
2023-06-09,22,17,0,0.77
2023-06-11,26,19,0,0.73
2023-06-13,27,18,0,0.67
2023-06-15,27,14,0,0.52
2023-06-17,26,18,0,0.69
2023-06-17,24,11,0,0.46
2023-06-17,26,14,0,0.54
