Unnamed: 0,date,total,filter,remove,ratio
0.0,2021-12-26,23,23,0,1.0
1.0,2021-12-28,16,16,0,1.0
2.0,2021-12-30,21,21,0,1.0
3.0,2022-01-02,18,18,0,1.0
4.0,2022-01-08,23,23,0,1.0
5.0,2022-01-10,19,19,0,1.0
6.0,2022-01-12,21,21,0,1.0
7.0,2022-01-14,19,19,0,1.0
8.0,2022-01-16,18,18,1,1.0
9.0,2022-01-18,29,29,0,1.0
10.0,2022-01-20,22,22,0,1.0
11.0,2022-01-22,17,17,4,1.0
12.0,2022-01-24,24,24,0,1.0
13.0,2022-01-26,24,24,0,1.0
14.0,2022-01-28,19,19,0,1.0
15.0,2022-01-30,18,18,1,1.0
16.0,2022-02-02,20,20,4,1.0
17.0,2022-02-04,27,27,0,1.0
18.0,2022-02-06,21,21,5,1.0
19.0,2022-02-08,21,21,0,1.0
20.0,2022-02-10,35,35,0,1.0
21.0,2022-02-12,29,29,0,1.0
22.0,2022-02-14,18,18,0,1.0
23.0,2022-02-16,27,27,0,1.0
24.0,2022-02-18,22,22,3,1.0
25.0,2022-02-20,29,29,0,1.0
26.0,2022-02-22,20,20,0,1.0
27.0,2022-02-26,17,17,0,1.0
28.0,2022-02-28,31,31,0,1.0
29.0,2022-03-02,23,23,0,1.0
30.0,2022-03-04,16,16,1,1.0
31.0,2022-03-06,18,18,0,1.0
32.0,2022-03-08,22,22,0,1.0
33.0,2022-03-10,31,31,0,1.0
34.0,2022-03-12,27,27,0,1.0
35.0,2022-03-14,35,35,0,1.0
36.0,2022-03-16,20,20,0,1.0
37.0,2022-03-18,23,23,1,1.0
38.0,2022-03-20,19,19,6,1.0
39.0,2022-03-22,17,17,1,1.0
40.0,2022-03-24,18,18,0,1.0
41.0,2022-03-26,22,22,0,1.0
42.0,2022-03-28,23,23,0,1.0
43.0,2022-03-30,20,20,0,1.0
44.0,2022-04-02,23,23,0,1.0
45.0,2022-04-04,46,46,2,1.0
46.0,2022-04-06,33,33,0,1.0
47.0,2022-04-08,45,45,0,1.0
48.0,2022-04-10,37,37,0,1.0
49.0,2022-04-12,40,40,0,1.0
50.0,2022-04-14,32,32,0,1.0
51.0,2022-04-16,29,29,0,1.0
52.0,2022-04-18,50,50,0,1.0
53.0,2022-04-20,31,31,0,1.0
54.0,2022-04-22,54,54,0,1.0
55.0,2022-04-24,37,37,0,1.0
56.0,2022-04-26,62,62,0,1.0
57.0,2022-04-28,39,39,0,1.0
58.0,2022-04-30,36,36,0,1.0
59.0,2022-05-02,34,34,0,1.0
60.0,2022-05-04,49,49,0,1.0
61.0,2022-05-06,38,38,0,1.0
62.0,2022-05-08,40,40,0,1.0
63.0,2022-05-10,31,31,0,1.0
64.0,2022-05-12,46,46,0,1.0
65.0,2022-05-14,33,33,0,1.0
66.0,2022-05-16,30,30,0,1.0
67.0,2022-05-18,58,58,0,1.0
68.0,2022-05-20,33,33,0,1.0
69.0,2022-05-22,40,40,0,1.0
70.0,2022-05-24,31,31,0,1.0
71.0,2022-05-26,37,37,0,1.0
72.0,2022-06-02,39,39,0,1.0
73.0,2022-06-04,35,35,0,1.0
74.0,2022-06-06,39,39,0,1.0
75.0,2022-06-08,36,36,0,1.0
76.0,2022-06-10,42,42,5,1.0
77.0,2022-06-12,46,46,0,1.0
78.0,2022-06-14,47,47,0,1.0
79.0,2022-06-16,42,42,0,1.0
80.0,2022-06-18,34,34,0,1.0
81.0,2022-06-20,28,28,0,1.0
82.0,2022-06-22,50,50,0,1.0
83.0,2022-06-24,42,42,1,1.0
84.0,2022-06-26,41,41,0,1.0
85.0,2022-06-28,48,48,0,1.0
86.0,2022-06-30,34,34,0,1.0
87.0,2022-07-02,36,36,0,1.0
88.0,2022-07-04,34,34,0,1.0
89.0,2022-07-06,41,41,0,1.0
90.0,2022-07-08,40,40,0,1.0
91.0,2022-07-10,36,36,0,1.0
92.0,2022-07-12,30,30,3,1.0
93.0,2022-07-14,30,30,0,1.0
94.0,2022-07-16,36,36,0,1.0
95.0,2022-07-18,36,36,0,1.0
96.0,2022-07-20,42,42,0,1.0
97.0,2022-07-22,52,52,0,1.0
98.0,2022-07-24,59,59,0,1.0
99.0,2022-07-26,41,41,0,1.0
100.0,2022-07-28,31,31,0,1.0
101.0,2022-07-30,45,45,0,1.0
102.0,2022-08-02,43,43,0,1.0
103.0,2022-08-04,48,48,0,1.0
104.0,2022-08-06,37,37,0,1.0
105.0,2022-08-08,46,46,2,1.0
106.0,2022-08-10,31,31,0,1.0
107.0,2022-08-12,36,36,0,1.0
108.0,2022-08-14,38,38,0,1.0
109.0,2022-08-16,34,34,0,1.0
110.0,2022-08-18,59,59,0,1.0
111.0,2022-08-20,40,40,0,1.0
112.0,2022-08-22,36,36,0,1.0
113.0,2022-08-24,47,47,0,1.0
114.0,2022-08-26,46,46,0,1.0
115.0,2022-08-28,44,44,2,1.0
116.0,2022-08-30,45,45,0,1.0
117.0,2022-09-02,57,57,0,1.0
118.0,2022-09-04,38,38,0,1.0
119.0,2022-09-06,38,38,0,1.0
120.0,2022-09-08,40,40,0,1.0
121.0,2022-09-10,49,49,0,1.0
122.0,2022-09-12,31,31,0,1.0
123.0,2022-09-14,33,33,1,1.0
124.0,2022-09-16,35,35,0,1.0
125.0,2022-09-18,43,43,2,1.0
126.0,2022-09-20,41,41,0,1.0
127.0,2022-09-22,38,38,0,1.0
128.0,2022-09-24,35,35,0,1.0
129.0,2022-09-26,38,38,0,1.0
130.0,2022-09-28,27,27,6,1.0
131.0,2022-09-30,45,45,0,1.0
132.0,2022-10-02,45,45,0,1.0
133.0,2022-10-04,40,40,1,1.0
134.0,2022-10-06,50,50,0,1.0
135.0,2022-10-08,36,36,0,1.0
136.0,2022-10-10,33,33,0,1.0
137.0,2022-10-12,44,44,0,1.0
138.0,2022-10-14,31,31,0,1.0
139.0,2022-10-16,33,33,0,1.0
140.0,2022-10-18,29,29,0,1.0
141.0,2022-10-20,26,26,0,1.0
142.0,2022-10-22,31,31,0,1.0
143.0,2022-10-24,24,24,0,1.0
144.0,2022-10-26,28,28,0,1.0
145.0,2022-10-28,22,22,0,1.0
146.0,2022-10-30,25,25,0,1.0
147.0,2022-11-01,21,21,0,1.0
148.0,2022-11-03,19,19,0,1.0
149.0,2022-11-05,36,36,0,1.0
150.0,2022-11-07,34,34,0,1.0
151.0,2022-11-09,38,38,0,1.0
152.0,2022-11-11,21,21,0,1.0
153.0,2022-11-13,28,28,0,1.0
154.0,2022-11-15,25,25,0,1.0
155.0,2022-11-17,20,20,0,1.0
156.0,2022-11-19,20,20,0,1.0
157.0,2022-11-21,22,22,0,1.0
158.0,2022-11-23,20,20,0,1.0
159.0,2022-11-25,17,17,0,1.0
160.0,2022-11-27,27,27,0,1.0
161.0,2022-11-30,22,22,0,1.0
162.0,2022-12-02,21,21,0,1.0
163.0,2022-12-04,22,22,0,1.0
164.0,2022-12-06,24,24,0,1.0
165.0,2022-12-08,20,20,0,1.0
166.0,2022-12-10,24,24,0,1.0
167.0,2022-12-12,16,16,0,1.0
168.0,2022-12-14,19,19,0,1.0
169.0,2022-12-16,22,22,0,1.0
170.0,2022-12-18,18,18,0,1.0
171.0,2022-12-20,22,22,0,1.0
172.0,2022-12-22,22,22,0,1.0
173.0,2022-12-24,18,18,0,1.0
174.0,2022-12-26,25,25,0,1.0
175.0,2022-12-28,20,20,0,1.0
176.0,2022-12-30,26,26,0,1.0
177.0,2023-01-01,16,16,0,1.0
178.0,2023-01-03,26,26,0,1.0
179.0,2023-01-05,15,15,0,1.0
180.0,2023-01-07,25,25,0,1.0
181.0,2023-01-09,24,24,0,1.0
182.0,2023-01-13,28,28,0,1.0
183.0,2023-01-15,36,36,0,1.0
184.0,2023-01-17,24,24,0,1.0
185.0,2023-01-19,39,39,0,1.0
186.0,2023-01-21,35,35,0,1.0
187.0,2023-01-23,23,23,0,1.0
188.0,2023-01-26,30,30,0,1.0
189.0,2023-01-28,28,28,0,1.0
,2023-02-01,30,30,0,1.0
,2023-02-01,27,27,0,1.0
,2023-02-01,25,25,0,1.0
,2023-02-01,31,31,0,1.0
,2023-02-01,24,24,0,1.0
,2023-02-03,33,33,0,1.0
,2023-02-05,28,28,0,1.0
,2023-02-07,23,23,0,1.0
,2023-02-09,31,31,0,1.0
,2023-02-11,36,36,0,1.0
,2023-02-13,24,24,0,1.0
,2023-02-15,34,34,0,1.0
,2023-02-17,24,24,0,1.0
,2023-02-19,30,30,0,1.0
,2023-02-21,26,26,0,1.0
,2023-02-23,38,38,0,1.0
,2023-02-25,22,22,0,1.0
,2023-02-27,30,30,0,1.0
,2023-03-01,31,31,0,1.0
,2023-03-03,33,33,0,1.0
,2023-03-05,28,28,0,1.0
,2023-03-07,34,34,0,1.0
,2023-03-09,33,33,0,1.0
,2023-03-11,27,27,0,1.0
,2023-03-13,30,30,0,1.0
,2023-03-16,34,34,0,1.0
,2023-03-18,22,22,0,1.0
,2023-03-20,34,34,0,1.0
,2023-03-22,24,24,0,1.0
,2023-03-24,36,36,0,1.0
,2023-03-26,26,26,0,1.0
,2023-04-02,24,24,0,1.0
,2023-04-04,31,31,0,1.0
,2023-04-06,32,32,0,1.0
,2023-04-12,27,27,0,1.0
,2023-04-14,37,37,0,1.0
,2023-04-16,25,25,0,1.0
,2023-04-18,35,35,0,1.0
,2023-04-20,29,29,0,1.0
,2023-04-22,22,22,0,1.0
,2023-04-24,24,24,0,1.0
,2023-04-26,36,36,0,1.0
,2023-04-30,24,24,0,1.0
,2023-05-02,24,24,0,1.0
,2023-05-04,24,24,0,1.0
,2023-05-06,25,25,0,1.0
,2023-05-08,34,34,0,1.0
,2023-05-10,28,28,0,1.0
,2023-05-12,30,30,0,1.0
,2023-05-14,32,32,0,1.0
,2023-05-16,22,22,0,1.0
,2023-05-18,28,28,0,1.0
,2023-05-20,37,37,0,1.0
,2023-05-22,22,22,0,1.0
,2023-05-24,26,26,0,1.0
,2023-05-26,36,36,0,1.0
,2023-05-28,24,24,0,1.0
,2023-05-30,27,27,0,1.0
,2023-06-01,26,26,0,1.0
,2023-06-03,27,27,0,1.0
,2023-06-05,21,21,0,1.0
,2023-06-07,36,36,0,1.0
,2023-06-09,29,29,0,1.0
,2023-06-09,22,22,0,1.0
,2023-06-11,26,26,0,1.0
,2023-06-13,27,27,0,1.0
,2023-06-15,27,27,0,1.0
,2023-06-17,26,26,0,1.0
,2023-06-17,24,24,0,1.0
,2023-06-17,26,26,0,1.0
,2023-06-19,23,23,0,1.0
,2023-06-21,22,22,0,1.0
,2023-06-23,27,27,0,1.0
,2023-06-25,22,22,0,1.0
,2023-06-27,32,32,0,1.0
,2023-06-29,23,23,0,1.0
,2023-07-01,31,31,0,1.0
,2023-07-03,25,25,0,1.0
,2023-07-05,36,36,0,1.0
,2023-07-07,29,29,0,1.0
,2023-07-09,27,27,0,1.0
,2023-07-11,25,25,0,1.0
,2023-07-13,28,28,0,1.0
,2023-07-15,30,30,0,1.0
,2023-07-17,28,28,0,1.0
,2023-07-19,28,28,0,1.0
