"DateTime","total","ratio","filter","remove"
"2021-12-26 00:00:00",23,0,0,0
"2021-12-28 00:00:00",13,0,0,3
"2021-12-30 00:00:00",18,0,0,3
"2022-01-02 00:00:00",17,0,0,1
"2022-01-08 00:00:00",23,0,0,0
"2022-01-10 00:00:00",13,0,0,6
"2022-01-12 00:00:00",21,0,0,0
"2022-01-14 00:00:00",19,0,0,0
"2022-01-16 00:00:00",13,0,0,6
"2022-01-18 00:00:00",29,0,0,0
"2022-01-20 00:00:00",22,0,0,0
"2022-01-22 00:00:00",17,0,0,4
"2022-01-24 00:00:00",24,0,0,0
"2022-01-26 00:00:00",19,0,0,5
"2022-01-28 00:00:00",19,0,0,0
"2022-01-30 00:00:00",19,0,0,0
"2022-02-02 00:00:00",24,0,0,0
"2022-02-04 00:00:00",27,0,0,0
"2022-02-06 00:00:00",26,0,0,0
"2022-02-08 00:00:00",21,0,0,0
"2022-02-10 00:00:00",35,0,0,0
"2022-02-12 00:00:00",29,0,0,0
"2022-02-14 00:00:00",18,0,0,0
"2022-02-16 00:00:00",26,0,0,1
"2022-02-18 00:00:00",25,0,0,0
"2022-02-20 00:00:00",29,0,0,0
"2022-02-22 00:00:00",20,0,0,0
"2022-02-26 00:00:00",17,0,0,0
"2022-02-28 00:00:00",31,0,0,0
"2022-03-02 00:00:00",23,0,0,0
"2022-03-04 00:00:00",15,0,0,2
"2022-03-06 00:00:00",17,0,0,1
"2022-03-08 00:00:00",22,0,0,0
"2022-03-10 00:00:00",26,0,0,5
"2022-03-12 00:00:00",27,0,0,0
"2022-03-14 00:00:00",35,0,0,0
"2022-03-16 00:00:00",20,0,0,0
"2022-03-18 00:00:00",24,0,0,0
"2022-03-20 00:00:00",25,0,0,0
"2022-03-22 00:00:00",16,0,0,2
"2022-03-24 00:00:00",18,0,0,0
"2022-03-26 00:00:00",22,0,0,0
"2022-03-28 00:00:00",22,0,0,1
"2022-03-30 00:00:00",18,0,0,2
"2022-04-02 00:00:00",23,0,0,0
"2022-04-04 00:00:00",48,0,0,0
"2022-04-06 00:00:00",33,0,0,0
