total,filter,remove,rank,organization,country,country_iso,ratio,asn,region
22,22,0,1,"Level 3 Parent, LLC",United States,US,1,3356,ARIN
22,22,0,2,Telia Company AB,Sweden,SE,1,1299,RIPE NCC
22,22,0,3,Cogent Communications,United States,US,1,174,ARIN
22,22,0,4,GTT Communications Inc.,United States,US,1,3257,ARIN
22,22,0,6,"NTT America, Inc.",United States,US,1,2914,ARIN
22,22,0,7,Hurricane Electric LLC,United States,US,1,6939,ARIN
22,0,0,8,Zayo Bandwidth,United States,US,0,6461,ARIN
22,22,0,9,TATA COMMUNICATIONS (AMERICA) INC,United States,US,1,6453,ARIN
22,22,0,10,"PCCW Global, Inc.",United States,US,1,3491,ARIN
22,20,0,12,RETN Limited,United Kingdom,GB,0.91,9002,RIPE NCC
22,20,0,13,Telstra International Limited,Hong Kong,HK,0.91,4637,APNIC
22,22,0,14,Orange S.A.,France,FR,1,5511,RIPE NCC
22,22,0,15,TELEFONICA GLOBAL SOLUTIONS SL,Spain,ES,1,12956,RIPE NCC
22,0,0,16,PJSC Rostelecom,Russia,RU,0,12389,RIPE NCC
22,0,0,17,Singapore Telecommunications (SINGTEL Internet Exchange),Singapore,SG,0,7473,APNIC
22,0,0,18,"MCI Communications Services, Inc. d/b/a Verizon Business",United States,US,0,701,ARIN
22,0,0,19,Joint Stock Company TransTeleCom,Russia,RU,0,20485,RIPE NCC
22,0,0,20,"GlobeNet Cabos Submarinos Colombia, S.A.S.",Colombia,CO,0,52320,LACNIC
22,22,0,21,"AT&T Services, Inc.",United States,US,1,7018,ARIN
22,0,0,22,Deutsche Telekom AG,Germany,DE,0,3320,RIPE NCC
22,0,0,23,ALGAR TELECOM S/A,Brazil,BR,0,16735,LACNIC
22,0,0,24,"PJSC ""Vimpelcom""",Russia,RU,0,3216,RIPE NCC
22,0,0,25,PJSC MegaFon,Russia,RU,0,31133,RIPE NCC
22,22,0,26,"Level 3 Parent, LLC",United States,US,1,3549,ARIN
22,0,0,27,Bharti Airtel Limited,India,IN,0,9498,APNIC
22,0,0,28,CJSC RASCOM,Russia,RU,0,20764,RIPE NCC
