date,ases_with_rov_ratio_100
12/24/2021,160
12/26/2021,42623
12/28/2021,26978
12/30/2021,40264
1/2/2022,35584
1/8/2022,46256
1/10/2022,36367
1/12/2022,39794
1/14/2022,36876
1/16/2022,35885
1/18/2022,55196
1/20/2022,41662
1/22/2022,41536
1/24/2022,52932
1/26/2022,45718
1/28/2022,34149
1/30/2022,34227
2/2/2022,45767
2/4/2022,57529
2/6/2022,55552
2/8/2022,46648
2/10/2022,80748
2/12/2022,66442
2/14/2022,40115
2/16/2022,63462
2/18/2022,58721
2/20/2022,78258
2/22/2022,53822
2/26/2022,45720
2/28/2022,89104
3/2/2022,62614
3/4/2022,48138
3/6/2022,51802
3/8/2022,61052
3/10/2022,85024
3/12/2022,80867
3/14/2022,96336
3/16/2022,51141
3/18/2022,65131
3/20/2022,66213
3/22/2022,51040
3/24/2022,49073
3/26/2022,59771
3/28/2022,63629
3/30/2022,53374
4/2/2022,69772
4/4/2022,145456
4/6/2022,99893
4/8/2022,136548
4/10/2022,113408
4/12/2022,143617
4/14/2022,101314
4/16/2022,96830
4/18/2022,160981
4/20/2022,101409
4/22/2022,177212
4/24/2022,128671
4/26/2022,192663
4/28/2022,123353
4/30/2022,110118
5/2/2022,106223
5/4/2022,154949
5/6/2022,144888
5/8/2022,137690
5/10/2022,104411
5/12/2022,142270
5/14/2022,105596
5/16/2022,93986
5/18/2022,170472
5/20/2022,97167
5/22/2022,113015
5/24/2022,92847
5/26/2022,110130
6/2/2022,121902
6/4/2022,108302
6/6/2022,124488
6/8/2022,112261
6/10/2022,143068
6/12/2022,167172
6/14/2022,151063
6/16/2022,158427
6/18/2022,104510
6/20/2022,74450
6/22/2022,169578
6/24/2022,119118
6/26/2022,110148
6/28/2022,125567
6/30/2022,90157
7/2/2022,100620
7/4/2022,92153
7/6/2022,110686
7/8/2022,98497
7/10/2022,95280
7/12/2022,86692
7/14/2022,83396
7/16/2022,119203
7/18/2022,99057
7/20/2022,118058
7/22/2022,155768
7/24/2022,169004
7/26/2022,121265
7/28/2022,90583
7/30/2022,137432
8/2/2022,123935
8/4/2022,135741
8/6/2022,107948
8/8/2022,147872
8/10/2022,80667
8/12/2022,99689
8/14/2022,111165
8/16/2022,96361
8/18/2022,172934
8/20/2022,140495
8/22/2022,100356
8/24/2022,127744
8/26/2022,133886
8/28/2022,128296
8/30/2022,130609
9/2/2022,202573
9/4/2022,105990
9/6/2022,114438
9/8/2022,118084
9/10/2022,141643
9/12/2022,88672
9/14/2022,96845
9/16/2022,103077
9/18/2022,122693
9/20/2022,108694
9/22/2022,111302
9/24/2022,98171
9/26/2022,108646
9/28/2022,94571
9/30/2022,125765
10/2/2022,130486
10/4/2022,118188
10/6/2022,139095
10/8/2022,100043
10/10/2022,82795
10/12/2022,127230
10/14/2022,87361
10/16/2022,91578
10/18/2022,84527
10/20/2022,75484
10/22/2022,89099
10/24/2022,73398
10/26/2022,83248
10/28/2022,69871
10/30/2022,70338
11/1/2022,57798
11/3/2022,57361
11/5/2022,110208
11/7/2022,101614
11/9/2022,105669
11/11/2022,58505
11/13/2022,79433
11/15/2022,72427
11/17/2022,56170
11/19/2022,59718
11/21/2022,68661
11/23/2022,59779
11/25/2022,49644
11/27/2022,83496
11/30/2022,77337
12/2/2022,68676
12/4/2022,74865
12/6/2022,86413
12/8/2022,67092
12/10/2022,79132
12/12/2022,57561
12/14/2022,62601
12/16/2022,74584
12/18/2022,64533
12/20/2022,78763
12/22/2022,74215
12/24/2022,63906
12/26/2022,88982
12/28/2022,71080
12/30/2022,93832
1/1/2023,51417
1/3/2023,82634
1/5/2023,47050
1/7/2023,83089
1/9/2023,72639
1/13/2023,83049
1/15/2023,116324
1/17/2023,79869
1/19/2023,119715
1/21/2023,113532
1/23/2023,78025
1/26/2023,101481
1/28/2023,92587
2/1/2023,293891
2/3/2023,101032
2/5/2023,90256
2/7/2023,77586
2/9/2023,102663
2/11/2023,120157
2/13/2023,78796
2/15/2023,110503
2/17/2023,82052
2/19/2023,99691
2/21/2023,84793
2/23/2023,116235
2/25/2023,68653
2/27/2023,101755
3/1/2023,107073
3/3/2023,103247
3/5/2023,87772
3/7/2023,111410
3/9/2023,109900
3/11/2023,85408
3/13/2023,103750
3/16/2023,113312
3/18/2023,78261
3/20/2023,109938
3/22/2023,81993
3/24/2023,125962
3/26/2023,90633
4/2/2023,81124
4/4/2023,111230
4/6/2023,107265
4/12/2023,89996
4/14/2023,126071
4/16/2023,92031
4/18/2023,126459
4/20/2023,103242
4/22/2023,73563
4/24/2023,81645
4/26/2023,129433
4/30/2023,82559
5/2/2023,80096
5/4/2023,88484
5/6/2023,91683
5/8/2023,116691
5/10/2023,99170
5/12/2023,104260
5/14/2023,115317
5/16/2023,79854
5/18/2023,103406
5/20/2023,125978
5/22/2023,79550
5/24/2023,93523
5/26/2023,119175
5/28/2023,80102
5/30/2023,90894
6/1/2023,86953
6/3/2023,98931
6/5/2023,76837
6/7/2023,130476
6/9/2023,138973
6/11/2023,90121
6/13/2023,92514
6/15/2023,94111
6/17/2023,183865
6/19/2023,82357
6/21/2023,75472
6/23/2023,97334
6/25/2023,76914
6/27/2023,112058
6/29/2023,82990
7/1/2023,111270
7/3/2023,83566
7/5/2023,129741
7/7/2023,103629
7/9/2023,94106
7/11/2023,86212
